"y" "treat" "list.data" "age" "south" "male" "college" "democrat" "republican" "independent" "sensitive" "sens.data"
"982" 3 0 1 3.2 1 1 1 0 1 0 NA 0
"984" NA NA 0 6.6 0 0 0 0 0 1 0 1
"987" 1 1 1 3.1 0 0 1 0 0 1 NA 0
"992" 3 1 1 4.2 0 1 1 0 0 1 NA 0
"993" NA NA 0 6.3 0 1 0 0 0 0 0 1
"996" NA NA 0 2.4 0 1 0 0 1 0 0 1
"997" NA NA 0 3.3 0 0 1 0 0 1 0 1
"1000" NA NA 0 4.9 0 1 1 0 0 1 0 1
"1003" 3 1 1 3.2 0 0 1 0 0 1 NA 0
"1004" NA NA 0 6.5 0 0 1 0 1 0 1 1
"1007" NA NA 0 2.1 0 1 1 0 0 0 0 1
"1008" NA NA 0 2.7 0 0 1 1 0 0 0 1
"1014" 2 0 1 3.5 1 0 0 0 1 0 NA 0
"1015" NA NA 0 6.9 0 1 0 1 0 0 1 1
"1016" 3 0 1 2.2 0 0 0 0 1 0 NA 0
"1017" 3 1 1 4.2 0 0 0 0 0 0 NA 0
"1018" 2 0 1 5.2 0 1 1 1 0 0 NA 0
"1019" NA NA 0 2.8 1 0 1 0 0 1 1 1
"1021" 4 1 1 4.9 0 0 0 1 0 0 NA 0
"1024" 2 1 1 3.4 0 1 1 0 1 0 NA 0
"1025" 2 1 1 2.9 0 0 0 0 1 0 NA 0
"1026" NA NA 0 2.2 0 1 0 0 0 1 0 1
"1028" 3 0 1 3.6 0 0 1 0 1 0 NA 0
"1030" 2 1 1 5 0 0 1 1 0 0 NA 0
"1032" 1 1 1 3.6 0 1 1 0 0 1 NA 0
"1033" 2 0 1 4.3 0 0 0 1 0 0 NA 0
"1035" 1 0 1 4.8 0 0 1 1 0 0 NA 0
"1038" 2 1 1 3.3 0 1 1 0 0 1 NA 0
"1041" 2 0 1 4.6 0 0 1 0 1 0 NA 0
"1045" NA NA 0 3.2 0 1 1 0 1 0 1 1
"1049" NA NA 0 1.9 0 1 0 0 0 1 0 1
"1050" NA NA 0 6 0 1 1 0 0 1 0 1
"1051" 3 1 1 5.1 0 0 1 0 1 0 NA 0
"1053" 2 0 1 2.7 0 0 1 0 0 1 NA 0
"1055" 3 1 1 3.8 0 0 1 0 1 0 NA 0
"1062" NA NA 0 2.9 1 1 1 0 1 0 1 1
"1063" 3 0 1 3.6 1 1 0 1 0 0 NA 0
"1064" 2 1 1 2.8 1 0 1 1 0 0 NA 0
"1066" 3 0 1 7.1 0 1 1 0 1 0 NA 0
"1067" NA NA 0 2.9 0 0 1 0 0 0 1 1
"1068" 3 1 1 4.3 0 1 0 0 0 0 NA 0
"1071" NA NA 0 6.2 0 0 0 0 0 1 1 1
"1075" 3 0 1 8 0 0 0 1 0 0 NA 0
"1077" NA NA 0 6.6 0 0 0 0 1 0 0 1
"1079" NA NA 0 6.4 1 1 0 1 0 0 1 1
"1082" 1 0 1 3.1 0 0 0 0 0 1 NA 0
"1086" 1 0 1 6.6 1 0 0 0 0 1 NA 0
"1087" 4 0 1 3.1 0 1 0 0 0 1 NA 0
"1088" 1 0 1 4.1 0 0 1 1 0 0 NA 0
"1089" 4 1 1 6.1 0 0 1 0 0 1 NA 0
"1090" NA NA 0 5.7 0 1 0 0 1 0 0 1
"1091" 4 1 1 6.3 0 0 0 0 1 0 NA 0
"1092" 3 0 1 5.5 0 0 0 1 0 0 NA 0
"1095" NA NA 0 6.9 0 0 1 0 0 1 0 1
"1097" NA NA 0 5.5 0 0 0 1 0 0 0 1
"1099" NA NA 0 4.2 1 0 1 0 0 1 0 1
"1105" NA NA 0 8.6 0 0 1 0 1 0 1 1
"1112" 2 0 1 6.8 1 0 0 0 0 1 NA 0
"1113" NA NA 0 4.5 0 0 1 0 1 0 1 1
"1117" 4 0 1 7.1 0 0 0 0 1 0 NA 0
"1118" 4 1 1 3 0 1 0 0 0 1 NA 0
"1119" 4 1 1 3.9 1 1 1 0 0 1 NA 0
"1123" 1 0 1 4.5 0 1 1 1 0 0 NA 0
"1125" 2 0 1 5.5 0 0 0 0 0 1 NA 0
"1127" 4 0 1 3.5 0 1 0 0 0 1 NA 0
"1129" 2 0 1 2.5 0 0 1 1 0 0 NA 0
"1131" 4 1 1 4.5 0 0 0 0 0 1 NA 0
"1132" 2 1 1 3.2 0 0 1 0 0 1 NA 0
"1133" 3 0 1 3 0 1 1 0 0 1 NA 0
"1137" 3 0 1 3.9 0 1 1 1 0 0 NA 0
"1139" 3 0 1 7.8 0 0 0 1 0 0 NA 0
"1146" 3 1 1 3.6 0 0 1 0 0 1 NA 0
"1148" NA NA 0 3.1 0 1 1 0 0 1 1 1
"1149" 2 1 1 8.2 0 0 1 0 0 1 NA 0
"1156" NA NA 0 3.2 0 0 1 0 1 0 1 1
"1158" 1 1 1 3.7 0 1 1 0 0 1 NA 0
"1161" 3 0 1 4.1 0 1 1 1 0 0 NA 0
"1162" 4 0 1 7.4 0 0 0 0 0 0 NA 0
"1163" 3 1 1 2.1 1 0 1 0 0 1 NA 0
"1168" NA NA 0 2.5 0 0 1 0 0 1 0 1
"1170" NA NA 0 4.7 0 1 1 0 0 1 0 1
"1173" 1 1 1 2.2 0 1 0 0 0 1 NA 0
"1174" NA NA 0 5.3 0 0 0 1 0 0 0 1
"1177" NA NA 0 4.3 0 0 1 1 0 0 0 1
"1178" 4 1 1 2.5 0 0 0 0 0 1 NA 0
"1180" 2 0 1 2.8 0 0 1 1 0 0 NA 0
"1182" 1 0 1 2 0 0 1 0 1 0 NA 0
"1185" 3 0 1 2 0 0 0 1 0 0 NA 0
"1189" 2 1 1 3.7 1 1 1 1 0 0 NA 0
"1190" NA NA 0 5.7 0 1 1 0 0 1 0 1
"1193" NA NA 0 4.2 0 0 1 1 0 0 0 1
"1194" 3 0 1 4 0 0 1 0 1 0 NA 0
"1198" 2 0 1 2.5 0 1 0 0 0 1 NA 0
"1200" 2 0 1 3.7 0 0 1 1 0 0 NA 0
"1201" NA NA 0 4 0 0 0 0 0 1 0 1
"1205" NA NA 0 4.6 1 0 1 0 0 1 0 1
"1207" NA NA 0 6.8 1 0 1 1 0 0 1 1
"1209" 3 0 1 4 0 1 0 0 0 1 NA 0
"1210" 2 1 1 3.6 0 0 1 0 1 0 NA 0
"1212" 2 1 1 5.7 0 0 1 0 1 0 NA 0
"1215" 3 0 1 3 0 1 0 1 0 0 NA 0
"1216" NA NA 0 7.8 0 1 0 0 1 0 0 1
"1217" NA NA 0 2.6 0 0 1 0 1 0 1 1
"1218" 3 0 1 5.7 0 1 0 0 0 1 NA 0
"1221" 2 1 1 3.8 0 0 1 1 0 0 NA 0
"1226" 3 0 1 5.7 0 1 0 1 0 0 NA 0
"1228" 3 1 1 3.4 0 1 1 0 1 0 NA 0
"1230" 3 1 1 3.8 0 0 1 0 1 0 NA 0
"1231" NA NA 0 4.9 0 1 1 0 0 0 0 1
"1237" 3 0 1 2.6 0 0 1 0 0 1 NA 0
"1239" NA NA 0 4.4 1 0 1 1 0 0 1 1
"1241" 3 1 1 7.2 1 0 0 0 0 1 NA 0
"1243" NA NA 0 4.4 0 0 1 1 0 0 0 1
"1247" 2 1 1 7.5 0 0 1 1 0 0 NA 0
"1249" 4 0 1 4.6 0 1 1 0 0 1 NA 0
"1250" NA NA 0 4.3 1 0 1 0 0 1 0 1
"1253" 1 0 1 2.6 1 1 0 0 1 0 NA 0
"1255" 2 0 1 6.9 1 0 0 1 0 0 NA 0
"1259" 2 0 1 2.7 0 1 1 0 0 1 NA 0
"1260" 1 0 1 4 0 1 1 1 0 0 NA 0
"1268" 3 0 1 4.3 0 1 1 1 0 0 NA 0
"1271" 3 0 1 3.4 0 0 0 1 0 0 NA 0
"1272" 4 0 1 3.7 0 1 0 0 1 0 NA 0
"1273" 1 1 1 2.2 0 0 1 1 0 0 NA 0
"1278" 5 1 1 5.8 0 1 1 0 0 1 NA 0
"1280" 3 0 1 5.6 0 0 0 0 0 1 NA 0
"1285" 2 1 1 5.8 0 1 1 0 0 0 NA 0
"1287" 2 0 1 6.2 0 0 1 0 1 0 NA 0
"1288" 2 1 1 3 1 0 1 1 0 0 NA 0
"1293" NA NA 0 5.4 0 0 0 1 0 0 0 1
"1296" NA NA 0 1.8 0 0 0 0 1 0 0 1
"1297" 3 1 1 3.9 0 1 1 0 1 0 NA 0
"1299" 3 0 1 3.4 0 1 0 0 1 0 NA 0
"1301" 1 0 1 7.3 0 1 0 0 0 1 NA 0
"1302" 2 1 1 5.3 0 0 1 1 0 0 NA 0
"1304" 2 0 1 8.2 0 0 0 0 1 0 NA 0
"1305" 2 1 1 4.1 0 1 1 0 0 1 NA 0
"1306" NA NA 0 5.4 1 1 0 0 1 0 1 1
"1308" NA NA 0 3.7 1 1 1 0 1 0 1 1
"1309" 4 1 1 3 0 1 0 0 0 1 NA 0
"1310" 1 0 1 5.4 0 0 1 0 0 1 NA 0
"1311" 2 0 1 6.9 1 0 0 1 0 0 NA 0
"1314" NA NA 0 5 1 1 1 0 1 0 1 1
"1317" NA NA 0 2.3 0 0 0 0 1 0 0 1
"1321" NA NA 0 3.4 0 1 0 0 0 1 1 1
"1327" NA NA 0 5.5 0 1 0 0 1 0 1 1
"1328" 4 1 1 5.6 0 1 1 0 0 1 NA 0
"1332" 4 0 1 2.7 0 0 0 0 0 1 NA 0
"1336" 2 0 1 4.7 0 1 1 1 0 0 NA 0
"1341" NA NA 0 4.2 0 0 1 0 1 0 0 1
"1344" NA NA 0 7.9 0 0 1 1 0 0 0 1
"1345" 3 1 1 3.3 0 0 1 0 1 0 NA 0
"1346" NA NA 0 2.8 0 1 0 0 0 0 0 1
"1347" 4 0 1 6.2 0 1 0 0 0 1 NA 0
"1348" 3 0 1 5.2 0 1 1 0 0 1 NA 0
"1352" 3 1 1 2.7 1 1 0 0 0 1 NA 0
"1355" 2 0 1 3.3 0 1 1 0 0 1 NA 0
"1357" 3 0 1 8.5 0 0 0 0 1 0 NA 0
"1358" 5 1 1 6.9 0 1 1 0 0 1 NA 0
"1362" 2 0 1 8.3 0 1 0 1 0 0 NA 0
"1364" 3 0 1 5.5 0 1 1 1 0 0 NA 0
"1367" NA NA 0 4.1 0 0 1 1 0 0 0 1
"1371" NA NA 0 3.3 1 1 1 0 0 1 1 1
"1374" NA NA 0 3.7 0 0 0 1 0 0 0 1
"1376" 5 1 1 5 0 1 0 0 0 1 NA 0
"1379" 1 1 1 3.4 0 1 1 0 0 1 NA 0
"1381" 1 1 1 3.6 1 1 1 0 0 1 NA 0
"1384" NA NA 0 5 0 0 1 0 1 0 0 1
"1386" 3 0 1 3.5 0 0 1 0 1 0 NA 0
"1387" 2 0 1 2.9 1 0 1 0 1 0 NA 0
"1390" 2 1 1 2.9 0 1 0 0 1 0 NA 0
"1391" 2 0 1 2.5 0 1 0 0 0 1 NA 0
"1393" NA NA 0 3.8 0 0 1 0 0 1 1 1
"1397" 1 0 1 8.5 0 0 0 1 0 0 NA 0
"1399" 3 0 1 3.5 0 0 0 0 0 1 NA 0
"1400" NA NA 0 5.3 1 1 1 0 1 0 0 1
"1401" 2 0 1 3.6 0 0 1 0 0 1 NA 0
"1402" 3 0 1 5 0 0 1 0 0 1 NA 0
"1403" 5 1 1 4.8 0 0 0 0 0 1 NA 0
"1404" 3 1 1 6.3 0 1 1 1 0 0 NA 0
"1406" 4 0 1 5.7 0 0 0 0 1 0 NA 0
"1409" NA NA 0 3.9 0 1 1 0 0 1 1 1
"1410" NA NA 0 2.1 0 1 0 0 1 0 0 1
"1411" NA NA 0 7.5 0 0 0 1 0 0 1 1
"1412" NA NA 0 6.4 0 1 1 0 1 0 0 1
"1413" 4 0 1 7.7 0 1 1 0 0 1 NA 0
"1416" 3 1 1 2.1 0 1 1 0 1 0 NA 0
"1419" 3 0 1 4.5 0 0 1 1 0 0 NA 0
"1420" 2 1 1 5 1 0 1 0 0 1 NA 0
"1423" 3 0 1 6.8 0 1 1 0 1 0 NA 0
"1424" 2 1 1 2 1 0 1 0 0 1 NA 0
"1426" 1 0 1 3.1 0 0 0 0 0 1 NA 0
"1427" NA NA 0 6.6 0 1 0 1 0 0 0 1
"1430" 2 0 1 4.6 0 0 1 1 0 0 NA 0
"1436" 3 1 1 6.3 1 1 0 0 0 0 NA 0
"1439" NA NA 0 3 0 1 0 0 0 1 0 1
"1442" 4 1 1 2.9 1 1 0 0 0 1 NA 0
"1444" 4 0 1 6.2 0 0 0 0 0 1 NA 0
"1445" 5 1 1 4.7 0 1 1 0 1 0 NA 0
"1449" NA NA 0 8.1 0 1 1 1 0 0 0 1
"1454" 4 1 1 2.2 0 1 1 1 0 0 NA 0
"1455" 5 1 1 6.4 0 1 1 0 0 1 NA 0
"1459" NA NA 0 6.7 0 0 0 1 0 0 0 1
"1461" 1 1 1 4.2 0 0 1 0 1 0 NA 0
"1463" 3 1 1 5.1 0 1 0 0 1 0 NA 0
